,guest_size,total_interactions,message_length,total_reviews,lead_time,days_of_stay,reply_t,accepted,rt_Entire_home/apt,rt_Private room,rt_Shared room,contact_me,past_booker
14844,1.0,10,153.0,8.0,26,11,52.06666666666667,0,1,0,0,0,1
14845,4.0,2,0.0,2.0,0,5,387.8,0,1,0,0,0,0
14852,2.0,2,827.0,2.0,35,3,724.8333333333335,0,0,0,1,0,0
14853,2.0,5,125.0,24.0,3,1,34.53333333333333,1,1,0,0,1,0
14855,3.0,12,125.0,0.0,68,8,16.333333333333336,1,1,0,0,1,1
14857,5.0,3,178.0,11.0,320,9,1275.5333333333333,1,1,0,0,1,1
14860,2.0,5,42.0,2.0,47,35,23.266666666666666,0,1,0,0,1,1
14862,4.0,3,167.0,5.0,33,6,713.8166666666667,1,1,0,0,1,0
14863,1.0,16,108.0,3.0,6,20,172.91666666666663,1,1,0,0,1,0
14865,1.0,3,64.0,19.0,39,8,18.466666666666665,0,1,0,0,1,1
14868,2.0,4,80.0,0.0,10,2,837.9666666666667,0,1,0,0,0,1
14869,1.0,23,279.0,0.0,197,5,27.73333333333333,1,0,1,0,1,0
14870,2.0,5,239.0,8.0,5,2,585.3333333333334,0,1,0,0,1,0
14871,6.0,2,246.0,3.0,28,2,1398.1166666666666,0,1,0,0,1,1
14873,2.0,9,62.0,0.0,43,8,6.166666666666668,1,0,0,1,1,0
14874,2.0,5,477.0,3.0,4,4,981.7000000000003,1,1,0,0,1,1
14875,3.0,13,193.0,11.0,87,15,187.63333333333333,0,1,0,0,1,0
14876,4.0,8,1052.0,59.0,129,5,44.53333333333333,0,1,0,0,1,0
14877,1.0,5,208.0,4.0,4,31,24.466666666666665,1,0,1,0,1,1
14879,1.0,6,278.0,27.0,109,19,0.2333333333333333,1,1,0,0,1,0
14885,2.0,3,168.0,11.0,27,2,324.55,0,1,0,0,0,0
14886,2.0,3,0.0,0.0,87,17,263.76666666666665,0,0,1,0,0,1
14889,4.0,16,95.0,0.0,9,3,44.7,1,1,0,0,1,0
14890,1.0,14,0.0,2.0,24,2,2346.3,1,0,1,0,0,1
14892,3.0,8,136.0,0.0,65,7,264.9666666666667,0,1,0,0,1,0
14893,2.0,3,212.0,7.0,179,6,0.0,0,0,1,0,1,1
14894,6.0,2,263.0,31.0,94,4,151.85,0,1,0,0,1,1
14895,1.0,15,709.0,5.0,23,2,16.333333333333336,1,0,1,0,0,1
14896,3.0,2,133.0,2.0,20,2,4413.216666666666,0,1,0,0,1,1
14897,5.0,5,543.0,1.0,29,3,27920.9,1,1,0,0,1,0
14899,1.0,3,296.0,30.0,67,4,5.7666666666666675,1,1,0,0,1,0
14900,6.0,4,224.0,0.0,19,10,88.73333333333332,0,1,0,0,1,0
14901,5.0,3,652.0,2.0,245,3,1205.2,0,1,0,0,1,1
14902,6.0,2,213.0,1.0,51,7,2681.2833333333333,0,1,0,0,0,0
14908,3.0,12,599.0,2.0,4,28,739.2166666666667,1,1,0,0,1,0
14911,4.0,5,569.0,0.0,64,3,259.18333333333334,0,1,0,0,1,0
14912,4.0,12,123.0,0.0,76,4,631.3833333333333,0,1,0,0,1,0
14915,3.0,7,266.0,18.0,32,1,49.15,1,1,0,0,1,1
14920,4.0,3,0.0,69.0,332,10,1364.9333333333334,0,1,0,0,0,0
14921,1.0,15,122.0,26.0,12,5,140.43333333333334,1,1,0,0,0,1
14923,2.0,2,200.0,1.0,138,5,1190.25,0,0,1,0,1,0
14927,5.0,2,109.0,0.0,10,4,8130.033333333335,0,1,0,0,1,1
14928,2.0,3,510.0,2.0,25,7,6.85,0,0,1,0,0,0
14935,4.0,32,175.0,7.0,33,3,501.30000000000007,1,1,0,0,1,0
14936,8.0,29,466.0,69.0,96,5,7.25,1,1,0,0,1,0
14937,6.0,2,79.0,0.0,28,5,15.183333333333335,0,1,0,0,1,1
14939,1.0,60,0.0,2.0,195,12,99.26666666666668,0,1,0,0,0,1
14940,6.0,2,48.0,0.0,31,3,1618.216666666667,0,1,0,0,1,1
14942,2.0,9,51.0,95.0,0,3,16.000000000000004,0,1,0,0,1,1
14944,2.0,16,397.0,78.0,54,3,52.63333333333333,1,1,0,0,0,1
14945,2.0,4,346.0,3.0,122,247,361.25,0,1,0,0,1,1
14947,2.0,5,699.0,7.0,89,1,799.8333333333335,0,0,1,0,1,1
14948,2.0,7,365.0,3.0,9,28,4.583333333333333,0,1,0,0,0,0
14949,1.0,14,490.0,7.0,11,2,358.66666666666674,1,1,0,0,1,1
14952,1.0,2,220.0,1.0,23,5,596.4833333333332,0,0,1,0,0,0
14955,2.0,5,71.0,33.0,117,7,412.1,0,1,0,0,0,1
14956,2.0,6,179.0,12.0,13,3,114.85,1,1,0,0,0,1
14957,2.0,15,321.0,8.0,2,4,3.066666666666667,1,1,0,0,1,1
14960,1.0,3,66.0,0.0,22,5,0.6666666666666666,0,1,0,0,0,0
14961,1.0,3,578.0,95.0,3,3,251.38333333333333,0,1,0,0,1,0
14962,6.0,3,146.0,0.0,42,2,1361.4833333333333,0,1,0,0,1,1
14964,4.0,4,0.0,7.0,112,7,133.5666666666667,0,1,0,0,0,1
14967,4.0,3,285.0,0.0,31,7,977.4333333333336,0,1,0,0,1,1
14968,4.0,4,187.0,24.0,216,4,15.183333333333335,1,1,0,0,1,0
14972,2.0,27,155.0,6.0,0,2,38.016666666666666,1,1,0,0,0,1
14974,2.0,9,79.0,1.0,78,3,870.1833333333333,1,0,1,0,0,0
14975,1.0,5,452.0,1.0,20,28,22.716666666666665,1,0,1,0,1,0
14981,1.0,3,538.0,3.0,176,21,13.65,1,1,0,0,1,1
14982,2.0,2,141.0,0.0,4,6,1369.1333333333334,0,0,1,0,1,0
14983,1.0,4,35.0,7.0,215,6,1057.0166666666667,0,1,0,0,1,0
14984,4.0,2,77.0,3.0,5,2,5538.166666666668,0,1,0,0,1,1
14985,2.0,5,502.0,0.0,52,7,32.35,0,0,1,0,0,0
14986,4.0,3,148.0,27.0,38,5,810.0833333333335,1,1,0,0,1,0
14987,8.0,14,16.0,0.0,78,12,407.51666666666665,1,1,0,0,1,1
14990,2.0,8,200.0,0.0,248,4,313.8666666666667,1,1,0,0,1,0
14991,4.0,3,98.0,0.0,1,4,450.86666666666673,0,1,0,0,1,0
14992,1.0,5,247.0,1.0,59,11,716.8833333333333,0,0,1,0,1,0
14993,2.0,3,45.0,1.0,222,4,677.35,0,1,0,0,0,0
14994,8.0,2,64.0,0.0,27,5,4610.8,0,1,0,0,1,0
14996,2.0,3,235.0,94.0,215,10,104.96666666666668,0,1,0,0,1,0
14997,2.0,4,167.0,5.0,211,6,187.03333333333333,0,1,0,0,0,1
14998,1.0,9,352.0,1.0,0,28,449.25,1,0,1,0,1,1
14999,6.0,2,71.0,0.0,205,8,343.43333333333334,0,1,0,0,1,0
15001,2.0,3,62.0,0.0,147,9,554.1833333333333,0,1,0,0,0,1
15002,4.0,2,148.0,9.0,151,3,106.71666666666668,0,1,0,0,1,0
15003,2.0,2,106.0,0.0,17,7,378.81666666666666,0,0,1,0,1,1
15004,2.0,2,241.0,1.0,38,60,92.05,0,1,0,0,1,0
15009,2.0,3,219.0,7.0,82,7,0.2833333333333333,0,1,0,0,1,0
15010,4.0,14,202.0,11.0,29,5,2.9,1,1,0,0,1,1
15013,2.0,3,290.0,3.0,205,4,11.633333333333333,1,1,0,0,1,0
15015,8.0,4,465.0,0.0,68,20,757.65,0,1,0,0,0,1
15016,1.0,2,450.0,1.0,185,7,86780.03333333334,0,1,0,0,1,0
15018,1.0,33,474.0,13.0,190,15,40.41666666666666,1,1,0,0,1,1
15019,2.0,2,617.0,27.0,8,5,165.51666666666668,0,1,0,0,1,0
15020,5.0,3,145.0,0.0,110,2,681.3166666666667,0,1,0,0,1,0
15021,4.0,4,108.0,18.0,76,4,26.11666666666667,1,1,0,0,1,0
15022,2.0,3,354.0,27.0,43,1,25.3,1,1,0,0,1,0
15025,2.0,9,201.0,0.0,22,5,98.75,0,0,1,0,1,1
15028,1.0,2,541.0,10.0,174,21,1852.65,0,1,0,0,1,1
15033,3.0,6,233.0,4.0,128,16,27.98333333333333,1,1,0,0,1,0
15034,4.0,8,141.0,3.0,32,1,998.0166666666668,0,1,0,0,1,0
15036,4.0,2,222.0,0.0,38,9,8773.633333333333,0,1,0,0,1,0
15037,6.0,2,164.0,0.0,25,4,96.23333333333332,0,1,0,0,1,0
15038,3.0,3,506.0,0.0,132,7,584.5833333333334,0,1,0,0,0,0
15041,5.0,25,566.0,5.0,216,8,165.26666666666668,1,1,0,0,1,0
15044,3.0,3,237.0,0.0,15,2,1225.2,0,1,0,0,0,1
15045,2.0,2,126.0,0.0,193,8,1858.5166666666669,0,1,0,0,1,1
15046,2.0,4,202.0,16.0,17,4,102.63333333333334,1,0,1,0,0,0
15047,2.0,3,0.0,0.0,135,4,13011.783333333333,0,0,1,0,0,1
15048,2.0,3,298.0,0.0,54,1,524.2833333333333,0,0,1,0,0,1
15050,2.0,11,149.0,15.0,36,3,29.2,0,1,0,0,1,0
15051,2.0,3,47.0,5.0,81,7,768.7,1,0,1,0,1,0
15054,3.0,4,405.0,28.0,30,11,33.68333333333334,1,1,0,0,0,1
15055,4.0,2,370.0,0.0,212,10,539.3666666666667,0,1,0,0,1,0
15058,3.0,13,109.0,12.0,136,2,36.91666666666666,1,1,0,0,0,1
15059,2.0,28,285.0,0.0,2,68,85.0,0,1,0,0,0,1
15060,2.0,2,151.0,0.0,54,4,253.3166666666667,0,0,0,1,1,0
15062,3.0,7,369.0,9.0,1,2,9.4,1,1,0,0,1,1
15063,2.0,2,103.0,2.0,209,1,722.2666666666668,0,1,0,0,0,1
15064,4.0,5,131.0,15.0,26,3,49.21666666666667,1,1,0,0,1,0
15066,2.0,9,277.0,5.0,26,8,55.03333333333333,1,0,1,0,1,0
15071,2.0,5,58.0,46.0,7,3,0.0,0,1,0,0,0,0
15072,1.0,3,236.0,4.0,14,3,38.61666666666667,0,1,0,0,1,1
15073,2.0,6,190.0,0.0,47,8,20.08333333333333,0,0,1,0,1,0
15074,4.0,5,204.0,0.0,70,6,114.0,0,1,0,0,1,0
15075,2.0,2,188.0,2.0,0,5,2.533333333333333,0,1,0,0,1,1
15077,1.0,3,530.0,0.0,34,9,877.0,0,0,1,0,1,0
15079,7.0,2,207.0,95.0,21,3,515.1166666666667,0,1,0,0,1,1
15081,3.0,7,287.0,10.0,43,6,58.01666666666666,1,1,0,0,1,0
15082,1.0,2,130.0,1.0,3,3,112.76666666666668,0,0,0,1,1,0
15083,2.0,16,252.0,82.0,20,6,123.58333333333334,1,1,0,0,0,1
15084,1.0,9,0.0,12.0,35,4,313.8666666666667,1,0,1,0,0,0
15085,2.0,8,246.0,2.0,17,1,22.766666666666666,1,1,0,0,1,1
15089,2.0,2,248.0,0.0,88,16,376.91666666666674,0,1,0,0,1,1
15090,2.0,2,342.0,0.0,147,2,523.3000000000002,0,1,0,0,1,0
15091,2.0,2,263.0,1.0,5,1,425.76666666666665,0,0,1,0,1,0
15092,1.0,8,145.0,1.0,23,16,2.25,1,1,0,0,1,1
15098,1.0,7,128.0,1.0,46,20,132.51666666666668,1,0,1,0,1,1
15099,2.0,3,262.0,1.0,56,4,605.1833333333333,0,1,0,0,1,0
15104,2.0,12,0.0,9.0,135,2,14.916666666666664,1,0,1,0,0,0
15106,3.0,4,495.0,5.0,17,8,57.1,0,1,0,0,0,0
15107,2.0,6,237.0,2.0,129,6,4.583333333333333,0,1,0,0,1,0
15110,5.0,3,514.0,11.0,124,29,481.78333333333336,0,1,0,0,1,0
15111,2.0,3,519.0,3.0,32,76,1451.65,1,1,0,0,1,0
15112,2.0,4,41.0,0.0,71,10,6.5,0,1,0,0,0,1
15114,4.0,10,319.0,1.0,193,8,1596.9833333333331,0,1,0,0,0,1
15117,2.0,5,141.0,17.0,0,3,10.566666666666666,0,1,0,0,0,1
15118,2.0,8,76.0,1.0,192,5,5.55,1,1,0,0,1,1
15119,2.0,3,75.0,11.0,4,2,16.866666666666667,0,1,0,0,0,1
15120,1.0,6,7.0,4.0,2,29,1030.7166666666667,0,1,0,0,0,1
15123,1.0,8,147.0,1.0,1,6,339.5,0,1,0,0,0,1
15124,2.0,3,261.0,0.0,224,9,354.0,0,1,0,0,1,0
15127,4.0,5,148.0,2.0,156,6,9.3,1,1,0,0,1,0
15129,6.0,3,265.0,0.0,169,15,7.866666666666667,1,1,0,0,1,0
15135,1.0,5,189.0,63.0,8,5,22.016666666666666,0,1,0,0,1,1
15138,2.0,4,203.0,5.0,65,5,1338.3166666666666,0,0,1,0,1,1
15139,3.0,13,233.0,4.0,12,5,1.1833333333333331,1,1,0,0,1,0
15140,2.0,2,557.0,1.0,16,7,4900.9,0,0,1,0,1,1
15141,2.0,3,57.0,31.0,44,5,35.6,1,1,0,0,1,0
15142,4.0,10,314.0,0.0,49,6,907.6,1,1,0,0,1,1
15143,1.0,4,97.0,0.0,177,18,1299.5666666666666,0,0,1,0,1,0
15146,4.0,2,138.0,1.0,211,2,960.9333333333333,0,1,0,0,0,0
15148,1.0,3,350.0,43.0,10,2,4.95,0,0,1,0,0,1
15149,3.0,3,155.0,1.0,14,2,257.85,1,0,1,0,1,0
15151,4.0,4,270.0,3.0,99,9,1163.6833333333334,0,1,0,0,1,0
15153,1.0,4,96.0,2.0,2,24,486.98333333333335,0,0,1,0,1,0
15164,1.0,3,212.0,0.0,67,17,471.66666666666674,0,0,1,0,0,0
15165,4.0,4,43.0,0.0,16,4,788.1,0,1,0,0,0,1
15167,2.0,10,106.0,34.0,18,4,303.3333333333333,1,0,1,0,1,1
15168,5.0,3,124.0,5.0,76,95,734.8166666666667,0,1,0,0,0,0
15169,4.0,3,300.0,6.0,27,3,6.416666666666668,0,0,1,0,0,0
15170,3.0,8,139.0,8.0,258,5,810.4833333333332,1,1,0,0,1,0
15171,2.0,2,0.0,9.0,16,4,140.71666666666667,0,1,0,0,0,0
15173,3.0,27,253.0,0.0,13,14,2.016666666666667,1,1,0,0,0,0
15174,1.0,26,167.0,12.0,1,8,0.0,1,1,0,0,1,1
15179,4.0,4,59.0,0.0,63,3,0.0,1,1,0,0,0,0
15180,2.0,15,0.0,73.0,162,7,17.516666666666666,1,0,1,0,0,1
15181,4.0,8,224.0,0.0,46,35,102.71666666666668,1,1,0,0,1,1
15182,1.0,11,189.0,1.0,25,10,1365.0833333333333,0,1,0,0,0,1
15185,4.0,3,184.0,0.0,13,3,138.78333333333333,0,1,0,0,1,1
15186,1.0,2,393.0,0.0,4,28,417.15,0,1,0,0,1,0
15187,4.0,2,266.0,0.0,35,4,565.6,0,1,0,0,1,0
15188,2.0,3,277.0,3.0,217,19,10.516666666666667,0,1,0,0,1,1
15193,2.0,3,339.0,0.0,122,11,35.61666666666667,0,1,0,0,1,0
15195,2.0,15,242.0,43.0,0,3,10.716666666666667,1,0,1,0,0,1
15197,1.0,2,18.0,32.0,6,8,718.45,0,0,1,0,0,0
15199,2.0,4,147.0,59.0,176,8,235.63333333333333,1,1,0,0,1,0
15201,1.0,7,134.0,30.0,21,7,395.63333333333327,1,0,1,0,1,1
15202,2.0,17,355.0,20.0,17,14,808.95,1,1,0,0,1,1
15203,1.0,2,163.0,0.0,17,5,19.683333333333334,0,0,1,0,0,1
15204,2.0,4,100.0,3.0,55,16,30.33333333333333,1,1,0,0,1,1
15209,1.0,18,160.0,3.0,72,22,98.08333333333331,0,1,0,0,0,1
15210,1.0,3,16.0,1.0,183,13,2487.45,0,1,0,0,1,1
15211,2.0,5,138.0,1.0,97,2,86.63333333333334,0,1,0,0,1,0
15212,1.0,3,322.0,0.0,193,30,79.03333333333333,0,1,0,0,1,1
15213,1.0,6,351.0,2.0,40,2,138663.2666666667,0,0,1,0,1,1
15214,2.0,4,108.0,13.0,123,7,3.466666666666667,1,1,0,0,1,0
15215,2.0,2,59.0,0.0,73,3,1080.8333333333335,0,1,0,0,1,1
15216,2.0,2,86.0,1.0,201,2,2670.0666666666666,0,1,0,0,1,0
15218,5.0,13,283.0,0.0,10,8,460.23333333333335,0,1,0,0,0,0
15221,2.0,2,14.0,0.0,0,2,239.9,0,0,1,0,1,1
15222,2.0,4,203.0,17.0,25,2,6.066666666666666,1,0,1,0,1,0
15223,2.0,3,160.0,0.0,104,9,1599.75,1,1,0,0,1,0
15224,3.0,2,59.0,0.0,95,1,0.85,0,1,0,0,1,1
15226,2.0,2,235.0,1.0,102,13,261.4666666666667,0,0,1,0,1,0
15229,4.0,9,94.0,0.0,24,4,32.833333333333336,0,1,0,0,1,0
15232,4.0,3,153.0,0.0,22,3,1806.4,1,1,0,0,1,0
15233,3.0,2,0.0,9.0,185,3,665.2,0,1,0,0,0,0
15235,2.0,3,134.0,8.0,2,2,460.1833333333333,0,1,0,0,0,1
15238,2.0,25,201.0,1.0,206,7,98.7,1,1,0,0,0,1
15239,4.0,5,841.0,0.0,74,5,220.91666666666663,0,1,0,0,1,0
15240,4.0,24,7.0,10.0,13,4,61.71666666666668,1,1,0,0,0,0
15242,2.0,2,103.0,3.0,214,4,25.36666666666667,0,0,1,0,1,0
15243,1.0,20,65.0,10.0,30,28,188.0,1,0,1,0,0,1
15245,2.0,3,228.0,0.0,0,3,494.9,0,1,0,0,0,1
15247,4.0,3,31.0,8.0,9,4,3.683333333333333,1,1,0,0,1,0
15248,2.0,3,201.0,0.0,52,2,1357.9666666666667,0,1,0,0,1,0
15249,2.0,2,159.0,2.0,105,7,38930.98333333333,0,1,0,0,1,0
15251,2.0,6,87.0,0.0,85,6,802.6,0,1,0,0,0,1
15253,4.0,7,235.0,20.0,59,2,26.33333333333333,1,1,0,0,1,0
15254,2.0,8,691.0,20.0,164,9,105.21666666666668,1,1,0,0,1,1
15255,2.0,8,205.0,50.0,235,14,325.1333333333333,0,0,1,0,1,1
15256,1.0,3,164.0,37.0,244,5,2.333333333333333,0,0,1,0,1,1
15257,1.0,31,273.0,0.0,4,29,10.1,1,1,0,0,1,1
15258,2.0,24,726.0,13.0,17,11,46.56666666666667,1,1,0,0,1,1
15259,1.0,2,259.0,3.0,24,2,9801.4,0,0,1,0,1,0
15260,1.0,2,240.0,1.0,55,5,8237.266666666668,0,0,1,0,1,1
15263,6.0,2,111.0,0.0,75,3,1445.666666666667,0,1,0,0,1,1
15265,1.0,9,125.0,66.0,0,1,12.866666666666667,1,1,0,0,1,0
15266,1.0,3,61.0,0.0,96,3,864.7,1,1,0,0,1,0
15267,4.0,2,206.0,0.0,112,4,507.3166666666667,0,1,0,0,1,1
15268,1.0,6,82.0,12.0,0,4,243.85,0,0,1,0,1,1
15270,5.0,2,208.0,0.0,58,10,53.06666666666667,0,1,0,0,1,0
15271,3.0,4,412.0,1.0,281,8,4648.25,0,1,0,0,0,1
15273,1.0,26,66.0,2.0,198,19,11.033333333333333,1,1,0,0,1,0
15274,2.0,33,44.0,56.0,115,4,30.41666666666667,1,1,0,0,0,0
15275,2.0,6,74.0,32.0,46,4,46.61666666666667,0,1,0,0,0,1
15277,2.0,3,247.0,24.0,205,10,59.08333333333334,1,0,1,0,1,0
15278,5.0,9,212.0,0.0,31,5,1.95,0,0,1,0,1,0
15279,2.0,18,424.0,1.0,76,3,55.93333333333333,1,0,1,0,0,0
15280,4.0,3,133.0,0.0,202,2,710.7166666666667,0,1,0,0,0,1
15282,2.0,4,165.0,0.0,17,14,6.066666666666666,1,1,0,0,1,0
15284,1.0,2,64.0,0.0,184,6,0.9,0,1,0,0,1,0
15285,4.0,2,116.0,0.0,53,5,753.0666666666667,0,1,0,0,1,0
15288,4.0,7,110.0,11.0,28,5,444.45,1,1,0,0,0,0
15289,2.0,3,88.0,0.0,74,6,53.7,0,1,0,0,1,0
15292,2.0,11,70.0,0.0,43,3,5.166666666666667,1,1,0,0,1,0
15293,2.0,10,182.0,1.0,21,3,16.35,1,0,1,0,1,0
15295,5.0,3,175.0,5.0,68,8,353.4,0,1,0,0,1,0
15296,3.0,3,168.0,6.0,2,2,6061.916666666668,0,1,0,0,1,0
15297,2.0,5,0.0,0.0,107,3,460.4,0,1,0,0,0,0
15299,4.0,3,263.0,3.0,6,15,1545.283333333333,0,1,0,0,0,1
15301,4.0,4,35.0,0.0,53,10,505.11666666666673,1,1,0,0,1,0
15305,1.0,21,72.0,0.0,28,46,61.91666666666667,1,1,0,0,1,1
15306,4.0,20,298.0,3.0,194,5,5.266666666666667,1,1,0,0,0,1
15311,4.0,2,203.0,1.0,171,2,893.45,0,1,0,0,1,0
15312,6.0,17,563.0,0.0,64,22,21.716666666666665,1,1,0,0,1,0
15313,2.0,13,361.0,23.0,10,3,74.26666666666667,1,1,0,0,1,0
15316,7.0,3,119.0,0.0,59,2,296.31666666666666,1,1,0,0,1,0
15317,2.0,3,85.0,0.0,116,4,12.15,0,1,0,0,1,0
15319,8.0,6,333.0,5.0,143,7,227.13333333333333,0,1,0,0,0,0
15321,2.0,3,137.0,32.0,201,7,166.1,0,0,1,0,1,1
15322,5.0,3,194.0,6.0,10,2,619.8666666666667,0,1,0,0,0,1
15323,2.0,2,201.0,9.0,2,1,618.0166666666668,0,1,0,0,0,1
15325,2.0,2,528.0,2.0,206,9,269.8666666666667,0,1,0,0,1,0
15327,4.0,3,274.0,0.0,104,1,5178.833333333333,0,1,0,0,1,0
15329,3.0,2,49.0,0.0,3,4,19.0,0,1,0,0,1,0
15337,1.0,5,154.0,17.0,43,11,4.2,1,0,1,0,1,1
15338,2.0,5,0.0,3.0,109,3,541.3166666666667,0,1,0,0,0,1
15340,2.0,3,180.0,0.0,128,8,45.41666666666666,0,1,0,0,1,1
15341,1.0,3,587.0,0.0,17,4,571.5666666666667,0,1,0,0,0,1
15347,6.0,5,372.0,49.0,263,11,612.2666666666668,1,1,0,0,1,0
15349,4.0,2,140.0,4.0,13,6,4453.9,0,1,0,0,1,0
15352,1.0,2,107.0,72.0,33,3,1107.3666666666666,0,0,1,0,1,1
15353,1.0,3,232.0,2.0,198,14,229.85,1,0,0,1,1,0
15354,2.0,6,146.0,2.0,91,7,382.26666666666665,0,0,1,0,0,1
15355,1.0,39,530.0,2.0,34,5,21.95,1,1,0,0,1,1
15356,1.0,12,136.0,1.0,50,30,168.46666666666667,0,1,0,0,1,1
15357,4.0,12,379.0,40.0,47,3,174.08333333333337,1,1,0,0,1,1
15361,1.0,3,109.0,1.0,12,185,332.0833333333333,0,1,0,0,1,0
15363,3.0,2,267.0,0.0,111,5,2831.133333333333,0,1,0,0,0,0
15368,2.0,2,310.0,11.0,41,4,4.266666666666667,0,0,1,0,1,0
15369,4.0,25,168.0,3.0,29,2,641.5,1,1,0,0,0,0
15370,4.0,49,43.0,5.0,2,4,591.7666666666668,1,1,0,0,0,0
15372,1.0,2,120.0,13.0,1,5,0.0,0,0,1,0,1,0
15373,8.0,2,482.0,1.0,148,12,2200.983333333333,0,1,0,0,1,0
15374,1.0,3,196.0,0.0,9,3,3.65,1,1,0,0,1,0
15375,2.0,3,133.0,0.0,126,4,249.71666666666667,0,1,0,0,0,0
15376,7.0,7,412.0,0.0,167,23,890.6833333333333,0,1,0,0,1,0
15377,1.0,4,182.0,0.0,110,29,547.3333333333334,1,1,0,0,1,0
15378,1.0,3,557.0,0.0,63,15,1142.5833333333333,1,0,1,0,1,0
15381,2.0,10,86.0,3.0,1,17,2.8666666666666667,0,1,0,0,0,1
15383,1.0,7,490.0,19.0,126,18,331.6333333333333,1,0,0,1,1,1
15387,1.0,7,356.0,37.0,5,4,150.35,1,1,0,0,1,1
15388,1.0,3,275.0,0.0,104,12,2221.2,0,0,1,0,1,0
15389,2.0,4,367.0,135.0,304,7,913.4,0,1,0,0,1,1
15392,1.0,2,48.0,0.0,106,3,6.716666666666668,0,0,1,0,0,1
15395,10.0,7,211.0,0.0,83,6,14.15,0,1,0,0,1,0
15396,2.0,2,112.0,0.0,206,7,23.55,0,1,0,0,1,0
15399,7.0,3,144.0,2.0,10,3,235.85,0,1,0,0,1,1
15402,2.0,2,179.0,0.0,215,3,383.0,0,0,1,0,1,0
15403,2.0,7,189.0,14.0,2,4,562.4666666666667,1,1,0,0,0,1
15404,3.0,2,268.0,0.0,214,8,41.68333333333333,0,1,0,0,1,0
15406,6.0,3,130.0,9.0,19,2,110.2,1,1,0,0,1,0
15411,2.0,3,465.0,0.0,198,5,45396.26666666667,0,0,1,0,1,0
15413,4.0,3,31.0,0.0,120,10,974.9500000000003,0,1,0,0,1,0
15415,2.0,3,390.0,1.0,184,7,1046.0333333333335,0,1,0,0,1,0
15416,4.0,15,340.0,49.0,190,5,8.233333333333334,1,1,0,0,0,0
15417,2.0,3,397.0,0.0,93,2,519.6500000000002,0,0,1,0,1,0
15418,8.0,6,251.0,0.0,119,18,569.9,1,1,0,0,1,0
15420,2.0,2,141.0,2.0,143,5,31489.1,0,0,1,0,1,0
15422,1.0,2,229.0,1.0,91,21,703.3833333333333,0,0,1,0,1,1
15429,1.0,19,411.0,8.0,59,99,711.1833333333333,1,1,0,0,0,0
15430,5.0,7,149.0,20.0,96,7,0.15,1,1,0,0,1,0
15431,3.0,20,403.0,0.0,0,11,3422.6,0,1,0,0,0,1
15432,1.0,6,419.0,1.0,0,3,204.13333333333333,0,1,0,0,0,0
15433,2.0,3,496.0,34.0,28,3,146.36666666666667,0,1,0,0,0,1
15435,1.0,13,258.0,26.0,18,5,137.13333333333333,1,1,0,0,0,1
15436,2.0,5,893.0,84.0,167,4,4.816666666666666,0,1,0,0,0,0
15437,1.0,4,159.0,0.0,2,3,1.25,0,1,0,0,1,0
15439,2.0,10,193.0,69.0,47,5,65.66666666666667,1,1,0,0,0,0
15441,1.0,2,24.0,0.0,1,2,800.1333333333333,0,0,1,0,0,0
15442,2.0,3,238.0,0.0,3,1,130.85000000000002,0,1,0,0,1,1
15451,2.0,9,0.0,32.0,27,3,566.3666666666667,1,1,0,0,0,0
15452,2.0,3,317.0,0.0,45,2,725.7,1,0,1,0,1,0
15453,1.0,3,297.0,0.0,59,26,413.85,1,0,1,0,1,0
15456,7.0,36,159.0,11.0,10,4,6.85,1,1,0,0,1,1
15459,5.0,4,504.0,0.0,176,31,62.85000000000001,0,1,0,0,1,0
15463,2.0,25,0.0,14.0,16,2,47.01666666666666,1,1,0,0,0,0
15464,1.0,4,215.0,0.0,2,7,880.8166666666667,0,0,0,1,1,0
15465,2.0,5,440.0,1.0,73,13,366.48333333333335,1,1,0,0,1,0
15471,4.0,8,203.0,3.0,206,12,599.5166666666668,1,1,0,0,0,1
15472,2.0,3,0.0,0.0,110,1,145.01666666666668,0,1,0,0,0,0
15474,8.0,2,94.0,0.0,30,2,5032.833333333333,0,1,0,0,1,0
15479,2.0,7,267.0,142.0,19,8,5.7,1,1,0,0,1,1
15480,2.0,21,22.0,6.0,3,4,459.91666666666674,1,1,0,0,0,0
15483,2.0,3,269.0,1.0,201,9,3875.316666666666,0,0,1,0,1,0
15484,4.0,4,208.0,0.0,201,3,298.95,0,1,0,0,0,0
15485,1.0,3,308.0,2.0,3,79,2.933333333333333,1,0,1,0,1,0
15487,3.0,20,202.0,3.0,30,3,2.583333333333333,1,1,0,0,1,0
15489,2.0,7,402.0,6.0,29,3,587.3833333333333,0,1,0,0,1,0
15490,1.0,10,104.0,9.0,19,3,248.55000000000004,1,1,0,0,0,0
15494,2.0,2,205.0,13.0,40,4,614.0833333333334,0,1,0,0,1,1
15495,1.0,9,231.0,20.0,11,6,121.45,1,1,0,0,0,1
15497,1.0,6,179.0,0.0,202,3,9.633333333333333,1,0,0,1,1,0
15499,1.0,6,435.0,4.0,210,28,915.8833333333333,0,0,1,0,1,1
15500,3.0,6,118.0,0.0,152,8,40.56666666666667,0,1,0,0,1,1
15506,4.0,32,232.0,0.0,216,7,271.01666666666665,1,1,0,0,0,0
